cop_name,sample_size,iteration,true_param,true_tau,AIC_clayton,AIC_gumbel,AIC_joe,AIC_frank,AIC_gaussian,xv1_clayton,xv1_gumbel,xv1_joe,xv1_frank,xv1_gaussian,xv_CIC_clayton,xv_CIC_gumbel,xv_CIC_joe,xv_CIC_frank,xv_CIC_gaussian,xv_nv_clayton,xv_nv_gumbel,xv_nv_joe,xv_nv_frank,xv_nv_gaussian
gumbel,100,1,1.05263157894737,0.05,-1.99521692071168,-0.831349581435937,-0.542070800101505,-1.27142807298843,-1.42973377969153,0.0110253922006498,0.58369148782363,0.726745528517367,0.36665312116285,0.288141557266107,-2.55537934042334,-0.900483242395221,-0.341238079320569,-1.64700629001308,-1.68759985857294,-Inf,-0.00667078154613922,-0.00514760839924082,-0.0114458042571562,-0.0128613591555645
gumbel,100,2,1.05263157894737,0.05,-1.35686182222676,-1.98738299706732,-1.78145288694079,-1.41803060122348,-1.72233026847171,0.323189935554292,0.010169539946312,0.113046130807763,0.294125685969474,0.143392674145121,-0.66235371844678,-2.03800538320659,-1.73813558870014,-1.80153092165615,-1.951702566726,-Inf,-0.0041145107091381,-0.00533936063172713,-0.00677419850563525,-0.00849862612273156
gumbel,100,3,1.05263157894737,0.05,0.854238295512217,6.39798721559488,6.25136697772774,4.73407559586796,3.54039218789638,1.41771097803858,4.16334397056651,4.09125479448742,3.33971363412316,2.74905804420877,0.498582307409784,5.86533453358878,6.12210937338631,4.21519569999724,2.81122235802195,0.005646343041742,0.0294246576386309,0.0255086709177432,0.0247112381807269,0.0164632347364803
gumbel,100,4,1.05263157894737,0.05,4.13432548883218,2.47867783627513,0.806794184434346,2.53358984601235,2.83838037501187,3.04006702047803,2.22376033833298,1.39706624040871,2.25017715099047,2.40083043289344,4.35297763973356,2.20942577269984,0.383194742459311,2.13967957040153,2.91882813484616,0.0239156251151696,0.0117461489805088,0.00109946426896059,0.0140200180450503,0.0152067194046781
gumbel,100,5,1.05263157894737,0.05,-1.93475869103377,-2,-2,-1.8818486751998,-1.82624804723678,0.0373694923518567,0,0,0.0636596650438888,0.0919096415481477,-1.50328876979215,-2.41011332019475,-2.32802475211427,-1.91853062000051,-1.99969048959322,-Inf,-0.00336774152968823,-0.00232107160157228,-0.0101392154655687,-0.0118288971078356
gumbel,100,6,1.05263157894737,0.05,-1.28170179175751,-1.60580818563682,-1.86510495048466,-1.14654038820195,-1.26012284872771,0.361190968573071,0.199948205825314,0.0710913776877278,0.428039469669556,0.371900467472971,-1.38686705275071,-1.42540338921554,-1.44749677959598,-1.32978658249779,-1.40867139712475,-0.0114666027325472,-0.00920793796857879,-0.00761478955331852,-0.0112634575686616,-0.0108172094714795
gumbel,100,7,1.05263157894737,0.05,-1.99231764848414,-0.399096683780456,0.204733097247462,-1.94745051651045,-1.42130760557585,0.00893754000384936,0.797944418300067,1.09701055248099,0.0307174988900552,0.291342349322627,-1.68823003581546,-0.420328075208638,0.227849355393409,-1.8195992436898,-1.34136093856024,-Inf,-0.00569611898522075,-0.00441168136171198,-0.0147061950784442,-0.0122544750068746
gumbel,100,8,1.05263157894737,0.05,-1.9521901182847,-0.485235284531958,0.472794222615963,-1.99556117721628,-1.67460335154556,0.0280077528485397,0.754679692331132,1.22875492921859,0.00788478862299508,0.166438500762129,-1.35561725268477,-0.434289940539454,0.682123372215973,-2.24607398012715,-1.75307789487057,-0.010732718180133,-0.000713669489868824,0.00259763626842932,-0.0110826783209483,-0.00865745270790658
gumbel,100,9,1.05263157894737,0.05,-1.91492826916642,0.870007854572551,1.50937047045309,-0.112904454332371,-0.876838555793563,0.0500506741455852,1.42618359939929,1.74253762755683,0.939878785006754,0.563471020281828,-2.34873823910908,0.707610001368946,1.73230525218975,-0.387112824675587,-1.72635249980189,-Inf,0.0052265312643236,0.00808965178001951,-0.00256826808864732,-0.0107964007729693
gumbel,100,10,1.05263157894737,0.05,-1.29555923712075,-1.99830618337651,-2,-1.08438687975394,-1.41625286615896,0.353437250902195,0.0048314907859074,0,0.457406869780793,0.293292326453695,-1.09091825039113,-1.85060485945232,-2.03932773006418,-0.746559283462782,-0.980574808037387,-0.010924059203458,-0.0067691419950097,-0.00399058271809013,-0.00728332792503413,-0.00967405191883167
